"model","h","relAR_pre","relAR_full","GWp_pre","GWp_full"
"2SRR-ARDI",1,0.924,0.962,0.049,0.182
"2SRR-ARDI",3,0.913,0.961,0.147,0.454
"2SRR-ARDI",6,0.95,0.984,0.184,0.2
"2SRR-ARDI",12,0.948,0.998,0.018,0.184
"2SRR-AR",1,0.975,0.982,0.388,0.42
"2SRR-AR",3,0.968,0.977,0.403,0.399
"2SRR-AR",6,0.965,0.974,0.189,0.279
"2SRR-AR",12,0.992,1.005,0.065,0.019
"2SRR-Factor",1,0.944,0.976,0.253,0.821
"2SRR-Factor",3,0.957,0.988,0.47,0.296
"2SRR-Factor",6,0.992,1.008,0.083,0.224
"2SRR-Factor",12,1.044,1.062,0.23,0.078
"Ridge",1,0.971,1,0.145,0.905
"Ridge",3,0.954,1.009,0.499,0.437
"Ridge",6,1,1.011,0.081,0.119
"Ridge",12,1.071,1.081,0.183,0.24
"LASSO",1,0.905,0.92,0.008,0.013
"LASSO",3,0.934,0.949,0.05,0.07
"LASSO",6,0.961,0.977,0.263,0.294
"LASSO",12,0.983,0.996,0.376,0.26
"Elastic Net",1,0.906,0.919,0.002,0.003
"Elastic Net",3,0.929,0.944,0.059,0.073
"Elastic Net",6,0.965,0.978,0.183,0.191
"Elastic Net",12,0.969,0.984,0.219,0.142
"Random Forest",1,0.963,0.974,0.296,0.49
"Random Forest",3,0.91,0.955,0.011,0.168
"Random Forest",6,0.937,0.95,0.088,0.136
"Random Forest",12,1.021,1.059,0.112,0.044
