"h","config","n_survivors","survivors"
1,"MSE_full",15,"AR_BIC, AR, Ridge, Bagging, Factor, T.Factor, 2SRR-AR, 2SRR-Factor, AdaLASSO, AdaElNET, RF, CSR, 2SRR-ARDI, LASSO, ElNET"
1,"MSE_excl2020-22",15,"AR_BIC, AR, 2SRR-AR, Ridge, Bagging, T.Factor, 2SRR-Factor, AdaLASSO, AdaElNET, RF, Factor, CSR, 2SRR-ARDI, LASSO, ElNET"
1,"MAE_full",15,"Bagging, 2SRR-Factor, AR_BIC, Factor, AR, Ridge, T.Factor, 2SRR-AR, 2SRR-ARDI, AdaLASSO, AdaElNET, RF, CSR, ElNET, LASSO"
3,"MSE_full",15,"Factor, Bagging, AR, AR_BIC, Ridge, LASSO, AdaLASSO, AdaElNET, RF, T.Factor, CSR, 2SRR-AR, 2SRR-Factor, 2SRR-ARDI, ElNET"
3,"MSE_excl2020-22",15,"AR, AR_BIC, Factor, Ridge, LASSO, ElNET, AdaLASSO, AdaElNET, Bagging, T.Factor, CSR, 2SRR-AR, 2SRR-Factor, 2SRR-ARDI, RF"
3,"MAE_full",15,"Factor, Bagging, AR_BIC, AR, Ridge, AdaLASSO, AdaElNET, T.Factor, 2SRR-Factor, LASSO, RF, CSR, 2SRR-AR, 2SRR-ARDI, ElNET"
6,"MSE_full",15,"Bagging, Factor, AdaLASSO, AR, AR_BIC, Ridge, AdaElNET, T.Factor, CSR, 2SRR-Factor, LASSO, ElNET, 2SRR-AR, 2SRR-ARDI, RF"
6,"MSE_excl2020-22",15,"Bagging, CSR, AdaLASSO, AR, AR_BIC, Ridge, AdaElNET, Factor, LASSO, ElNET, T.Factor, 2SRR-AR, 2SRR-Factor, 2SRR-ARDI, RF"
6,"MAE_full",15,"Bagging, AR_BIC, Factor, AR, CSR, Ridge, AdaLASSO, AdaElNET, T.Factor, 2SRR-Factor, 2SRR-ARDI, ElNET, LASSO, RF, 2SRR-AR"
12,"MSE_full",15,"Bagging, Factor, 2SRR-Factor, Ridge, AdaLASSO, AdaElNET, RF, T.Factor, CSR, AR_BIC, 2SRR-AR, AR, LASSO, 2SRR-ARDI, ElNET"
12,"MSE_excl2020-22",15,"Bagging, Factor, AR, AR_BIC, Ridge, LASSO, ElNET, AdaLASSO, AdaElNET, RF, T.Factor, CSR, 2SRR-AR, 2SRR-Factor, 2SRR-ARDI"
12,"MAE_full",15,"Bagging, Factor, Ridge, AdaLASSO, AdaElNET, RF, T.Factor, CSR, 2SRR-Factor, 2SRR-AR, AR_BIC, AR, LASSO, 2SRR-ARDI, ElNET"
