"case","h","cor_l1_l4","mean_l1","mean_l4","mean_ratio"
"AR",1,0.835440132806586,114234.787512112,105989.480759521,141.4598380297
"AR",3,0.829672494237712,103458.06640046,112845.751048087,110.653941442251
"AR",6,0.58777406258033,122377.578592465,143759.641946644,20.3497375008789
"AR",12,0.793387358860725,139786.558482816,140232.778673052,169.304436201028
"Factor",1,NA,162754.791419004,129246.930628173,0.794120587795372
"Factor",3,NA,162754.791419004,121708.537158853,0.747803097516929
"Factor",6,0.860066622768048,133403.549872306,126121.038110139,13437.7218094727
"Factor",12,0.464891302035897,81160.5060883416,130037.47756707,128.275328269327
"FAVAR",1,0.828734219936591,142411.160121641,125821.848112701,0.817761050261251
"FAVAR",3,0.708755590685076,146661.728895504,121329.916284014,0.76214343967051
"FAVAR",6,0.633598754630279,137852.587805217,144027.592236575,1.10427314915008
"FAVAR",12,0.679715810426475,130857.401523641,145739.05028093,2.89787066385105
