"case","h","step","n","pct_at_top","pct_at_bot","lambda_median"
"AR",1,"lambda_step1",178,0,0,162754.791419004
"AR",1,"lambda",178,0,0,162754.791419004
"AR",3,"lambda_step1",179,0,0,162754.791419004
"AR",3,"lambda",179,0,0,162754.791419004
"AR",6,"lambda_step1",178,0,0,162754.791419004
"AR",6,"lambda",178,0,0,162754.791419004
"AR",12,"lambda_step1",180,0,0,162754.791419004
"AR",12,"lambda",180,0,0,162754.791419004
"Factor",1,"lambda_step1",178,0,0,162754.791419004
"Factor",1,"lambda",178,0,0,162754.791419004
"Factor",3,"lambda_step1",178,0,0,162754.791419004
"Factor",3,"lambda",178,0,0,162754.791419004
"Factor",6,"lambda_step1",179,0,0,162754.791419004
"Factor",6,"lambda",179,0,0,162754.791419004
"Factor",12,"lambda_step1",178,0,0,59874.1417151978
"Factor",12,"lambda",178,0,0,162754.791419004
"FAVAR",1,"lambda_step1",177,0,0,162754.791419004
"FAVAR",1,"lambda",177,0,0,162754.791419004
"FAVAR",3,"lambda_step1",179,0,0,162754.791419004
"FAVAR",3,"lambda",179,0,0,162754.791419004
"FAVAR",6,"lambda_step1",178,0,0,162754.791419004
"FAVAR",6,"lambda",178,0,0,162754.791419004
"FAVAR",12,"lambda_step1",179,0,0,162754.791419004
"FAVAR",12,"lambda",179,0,0,162754.791419004
