"case","h","period","n_obs","RMSE_2SRR","RMSE_RW","ratio_vs_RW"
"AR",1,"Post-GFC/Pre-COVID",116,0.1959,0.2151,0.9107
"AR",1,"COVID",16,0.3069,0.298,1.0301
"AR",1,"High Inflation",24,0.3634,0.4164,0.8729
"AR",1,"Post-Inflation",24,0.1218,0.1376,0.8849
"AR",3,"Post-GFC/Pre-COVID",116,0.5406,0.6882,0.7856
"AR",3,"COVID",16,1.0101,1.1076,0.912
"AR",3,"High Inflation",24,0.6461,1.0626,0.608
"AR",3,"Post-Inflation",24,0.385,0.5063,0.7603
"AR",6,"Post-GFC/Pre-COVID",116,0.8568,1.2736,0.6727
"AR",6,"COVID",16,1.5198,2.1531,0.7059
"AR",6,"High Inflation",24,1.0887,2.0423,0.5331
"AR",6,"Post-Inflation",24,0.425,0.9146,0.4647
"AR",12,"Post-GFC/Pre-COVID",116,1.2758,2.3852,0.5349
"AR",12,"COVID",16,4.1136,4.7884,0.8591
"AR",12,"High Inflation",24,2.5436,4.1132,0.6184
"AR",12,"Post-Inflation",24,0.7268,1.8571,0.3914
"Factor",1,"Post-GFC/Pre-COVID",116,0.1809,0.2151,0.8409
"Factor",1,"COVID",16,0.4427,0.298,1.4857
"Factor",1,"High Inflation",24,0.3533,0.4164,0.8485
"Factor",1,"Post-Inflation",24,0.1376,0.1376,1
"Factor",3,"Post-GFC/Pre-COVID",116,0.5178,0.6882,0.7524
"Factor",3,"COVID",16,1.3155,1.1076,1.1877
"Factor",3,"High Inflation",24,0.7322,1.0626,0.689
"Factor",3,"Post-Inflation",24,0.3729,0.5063,0.7365
"Factor",6,"Post-GFC/Pre-COVID",116,0.8555,1.2736,0.6717
"Factor",6,"COVID",16,2.2137,2.1531,1.0282
"Factor",6,"High Inflation",24,1.1566,2.0423,0.5663
"Factor",6,"Post-Inflation",24,0.5388,0.9146,0.5891
"Factor",12,"Post-GFC/Pre-COVID",116,1.286,2.3852,0.5391
"Factor",12,"COVID",16,4.1056,4.7884,0.8574
"Factor",12,"High Inflation",24,1.7564,4.1132,0.427
"Factor",12,"Post-Inflation",24,1.1168,1.8571,0.6014
"FAVAR",1,"Post-GFC/Pre-COVID",116,0.1826,0.2151,0.8486
"FAVAR",1,"COVID",16,0.4372,0.298,1.4672
"FAVAR",1,"High Inflation",24,0.3556,0.4164,0.854
"FAVAR",1,"Post-Inflation",24,0.143,0.1376,1.0391
"FAVAR",3,"Post-GFC/Pre-COVID",116,0.4992,0.6882,0.7254
"FAVAR",3,"COVID",16,1.278,1.1076,1.1538
"FAVAR",3,"High Inflation",24,0.7079,1.0626,0.6662
"FAVAR",3,"Post-Inflation",24,0.3998,0.5063,0.7896
"FAVAR",6,"Post-GFC/Pre-COVID",116,0.8487,1.2736,0.6664
"FAVAR",6,"COVID",16,1.9376,2.1531,0.8999
"FAVAR",6,"High Inflation",24,0.9673,2.0423,0.4736
"FAVAR",6,"Post-Inflation",24,0.455,0.9146,0.4975
"FAVAR",12,"Post-GFC/Pre-COVID",116,1.2488,2.3852,0.5236
"FAVAR",12,"COVID",16,5.0094,4.7884,1.0462
"FAVAR",12,"High Inflation",24,2.2206,4.1132,0.5399
"FAVAR",12,"Post-Inflation",24,0.8207,1.8571,0.4419
