"h","var","cor_AR_FAVAR","mean_AR","mean_FAVAR"
1,"intercept",0.315649262361197,0.108174654003485,0.332493705164007
1,"Yh_L1",0.75336033177199,0.539894528459563,-0.161206544525857
1,"Yh_L2",0.676483093620233,0.0130938350641026,-0.0139951630340757
3,"intercept",0.695610511677347,0.448033415316891,0.841203447754512
3,"Yh_L3",0.345696749887441,0.0608695533533277,-0.430385044623413
3,"Yh_L4",0.455429985026872,0.338041579866299,0.397577403194045
6,"intercept",0.661733897026535,0.642049949767402,0.920222549767105
6,"Yh_L6",0.798325334429556,0.047426387522259,-0.259188991860357
6,"Yh_L7",0.82471129438598,0.47407000576395,0.615501453774477
12,"intercept",0.383238993453975,1.39293962553278,1.52524801233295
12,"Yh_L12",-0.00472603224631444,0.279852666408108,-0.0191128162298965
12,"Yh_L13",0.130090615410805,0.218200075141971,0.483059195500229
