"var","mean","sd","cv","min","max","sign_changes"
"Yh_L1",-0.161206544525857,0.0574086713976583,0.356118739264027,-0.221196591479371,-0.0397122808315482,0
"F2_L1",0.0448898261105171,0.0345127788774959,0.768832982166754,-0.0629439187152509,0.0628271309400654,5
"Yh_L2",-0.0139951630340757,0.0299421409128758,2.13946353036203,-0.12963845300791,0.0196397206927648,9
"intercept",0.332493705164007,0.0187844241647104,0.0564955783311588,0.286409685119323,0.429988709999692,0
"F4_L1",0.00498163483087984,0.0154999829859126,3.11142496632478,-0.0218111106392048,0.020706573370726,6
"F3_L1",-0.0229570566482352,0.0151099844283038,0.65818474292371,-0.0352685635547694,0.0260590894655706,5
"F3_L2",0.014780545355052,0.0103390839648147,0.699506257479252,-0.015755830764141,0.0261017091057954,5
"F1_L1",-0.000580835773506121,0.00943173865799201,16.2382192836692,-0.0216615169920299,0.011866314921466,8
"F1_L2",0.00268574376493635,0.00713850794696968,2.65792591242927,-0.0170404535026926,0.0100779525598523,6
"F4_L2",-0.000904558989372275,0.00705913719355598,7.80395449771022,-0.0135810667063029,0.0115514543015392,8
"F2_L2",-0.000204490706989456,0.0064593312295421,31.5874071963337,-0.00677137162109489,0.016739594988918,10
