"model","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12"
"RW",1,1,1,1,1,1,1,1,1,1,1,1
"Ridge",1.2715,NA,1.473,NA,NA,1.6746,NA,NA,NA,NA,NA,1.5453
"LASSO",0.8246,NA,0.7525,NA,NA,0.7607,NA,NA,NA,NA,NA,0.7546
"ElNET",0.8332,NA,0.7623,NA,NA,0.76,NA,NA,NA,NA,NA,0.7484
"AdaLASSO",0.9041,NA,0.7433,NA,NA,0.7791,NA,NA,NA,NA,NA,0.8495
"AdaElNET",0.9308,NA,0.7953,NA,NA,0.7899,NA,NA,NA,NA,NA,0.8325
"RF",0.8143,NA,0.7677,NA,NA,0.7787,NA,NA,NA,NA,NA,0.7688
"Bagging",0.839,NA,0.9557,NA,NA,1.0208,NA,NA,NA,NA,NA,0.924
"Factor",1.0377,NA,1.0143,NA,NA,0.8415,NA,NA,NA,NA,NA,0.8387
"T.Factor",0.9046,NA,0.8601,NA,NA,0.8223,NA,NA,NA,NA,NA,0.8716
"CSR",0.8413,NA,0.7448,NA,NA,0.7942,NA,NA,NA,NA,NA,0.7634
"AR",0.8784,NA,0.7732,NA,NA,0.8014,NA,NA,NA,NA,NA,0.7845
"AR_BIC",0.8784,NA,0.7732,NA,NA,0.8014,NA,NA,NA,NA,NA,0.7845
"2SRR_AR",0.8827,NA,0.7747,NA,NA,0.7781,NA,NA,NA,NA,NA,0.8155
"2SRR_Factor",0.8979,NA,0.8495,NA,NA,0.7869,NA,NA,NA,NA,NA,0.8142
"2SRR_FAVAR",0.8727,NA,0.8361,NA,NA,0.7907,NA,NA,NA,NA,NA,0.8147
"RidgeStep1_AR",0.9093,NA,0.7954,NA,NA,0.8007,NA,NA,NA,NA,NA,0.7975
"RidgeStep1_Factor",0.8764,NA,0.8571,NA,NA,0.8061,NA,NA,NA,NA,NA,0.8589
"RidgeStep1_FAVAR",0.8855,NA,0.8468,NA,NA,0.7999,NA,NA,NA,NA,NA,0.8634
