"case","h","rmse","rmse_rw","ratio"
"AR",1,0.222175551804575,0.251705475127504,0.88268064765786
"AR",3,0.255027902612511,0.329177195060457,0.774743531567161
"AR",6,0.255480656055036,0.328357372058632,0.778056708315405
"AR",12,0.289270619487193,0.354708365825761,0.815516766326532
"Factor",1,0.226002951141944,0.251705475127504,0.897886512112857
"Factor",3,0.279630322849163,0.329177195060457,0.849482670869121
"Factor",6,0.258372187393984,0.328357372058632,0.786862758019177
"Factor",12,0.288811023407446,0.354708365825761,0.81422106505747
"FAVAR",1,0.219666424305796,0.251705475127504,0.872712141817819
"FAVAR",3,0.275230801227958,0.329177195060457,0.836117463050284
"FAVAR",6,0.259631380717165,0.328357372058632,0.790697583822802
"FAVAR",12,0.288982002302396,0.354708365825761,0.814703091734659
