"case","h","cor_l1_l4","mean_l1","mean_l4","mean_ratio"
"AR",1,0.839043798763801,112998.633850723,104824.004675064,139.892149600938
"AR",3,0.869461872390837,90135.6114162157,100957.348882405,130.881667984081
"AR",6,0.94398239650572,89406.8394837244,93858.3151746806,13863.2821900656
"AR",12,0.853226891380267,78476.311081076,77383.6434288827,7733.32484227701
"Factor",1,0.730252986839059,17731.3173961601,22413.1458843443,1.38171648848531
"Factor",3,0.91109289534589,125339.304185108,118820.467503733,0.857518826802446
"Factor",6,0.689098036015774,108243.235572947,118252.843575137,1037.44721667131
"Factor",12,0.571926623080557,114565.901686449,143528.96223212,44.4397645167588
"FAVAR",1,0.663528574017044,90267.4418595146,77556.5381009698,2.64013287776407
"FAVAR",3,0.750673783667781,108531.217178496,110565.529858858,223.081194138861
"FAVAR",6,0.961279611063317,108473.098718481,107135.977146797,45.9694315614724
"FAVAR",12,0.778304028086637,78295.7085202266,85486.0623383552,155.082691762967
