"case","h","RMSE_2SRR","RMSE_RidgeStep1","RMSE_RidgeMed","ratio_vs_Step1","DM_stat_vs_Step1","DM_p_vs_Step1","DM_p_vs_MedRidge"
"AR",1,0.2222,0.2289,0.3201,0.9707,-0.135,0.4463,0.0793
"AR",3,0.255,0.2618,0.4849,0.974,-0.985,0.163,0.1517
"AR",6,0.2555,0.2629,0.5499,0.9717,-1.315,0.095,0.148
"AR",12,0.2893,0.2829,0.5481,1.0226,0.726,0.7655,0.1587
"Factor",1,0.226,0.2206,0.3201,1.0245,1.205,0.8851,0.0761
"Factor",3,0.2796,0.2821,0.4849,0.9911,-0.556,0.2895,0.1532
"Factor",6,0.2584,0.2647,0.5499,0.9761,-0.663,0.2542,0.1481
"Factor",12,0.2888,0.3046,0.5481,0.948,-1.008,0.1576,0.1575
"FAVAR",1,0.2197,0.2229,0.3201,0.9856,-0.3,0.3822,0.0766
"FAVAR",3,0.2752,0.2788,0.4849,0.9874,-0.932,0.1762,0.1528
"FAVAR",6,0.2596,0.2627,0.5499,0.9885,-0.387,0.3496,0.1483
"FAVAR",12,0.289,0.3062,0.5481,0.9437,-0.984,0.1631,0.1574
