"var","mean","sd","cv","min","max","sign_changes"
"Yh_L12",-0.288440176217007,0.160611646377339,0.556828277127744,-0.53939579195451,0.07268616884059,8
"Yh_L13",-0.0367376794135164,0.144228065217923,3.92588937353674,-0.247542884507443,0.500588290219054,19
"intercept",0.35938651242347,0.0525620976695562,0.146255064818964,0.129871680070204,0.566523582374822,0
"F2_L12",0.000997458709299074,0.0325245457876967,32.607410697283,-0.0520173282909975,0.0489434633906895,149
"F1_L12",0.000897867399896969,0.0157325807614055,17.5221650359627,-0.032234537427698,0.030808387599736,147
"F2_L13",-0.000651800343981468,0.0125502845206979,19.2547988606995,-0.0674680511158792,0.0501028503740027,147
"F4_L12",2.65683171482822e-05,0.0107579000975669,404.914622086346,-0.027047099682904,0.0260948276560509,155
"F3_L12",0.000318260915133944,0.00932767542247031,29.3082655736871,-0.0322813479987391,0.0290571844437023,150
"F3_L13",-0.000410417914912587,0.00858283603593173,20.9124302913525,-0.0172414640457617,0.0175852271219095,148
"F4_L13",9.78861264169035e-05,0.00814760332575652,83.2355270761796,-0.0208477627498078,0.0209556344842426,147
"F1_L13",-4.32196673262116e-05,0.0035021869712591,81.0322519334877,-0.00948833805880183,0.011246205598204,150
