"h","var","cor_AR_ARDI","mean_AR","mean_ARDI"
1,"intercept",0.134501715008365,0.118227472579198,0.354812041271506
1,"Yh_L1",-0.461097930548517,0.506654456278266,-0.222816169130199
1,"Yh_L2",0.779161474240064,0.0166240828421588,-0.0203923411371426
3,"intercept",-0.042125204349607,0.171037495720395,0.394063789633889
3,"Yh_L3",0.703276477771708,0.174096637819949,-0.213469986700823
3,"Yh_L4",0.483874990124941,0.158646583857844,-0.164284365887704
6,"intercept",0.357210152511702,0.172145654776824,0.308458723023562
6,"Yh_L6",0.626495951664698,0.157061173192497,-0.0597016182724961
6,"Yh_L7",0.786340279237572,0.15527675559353,-0.0707262301001925
12,"intercept",0.368463793895118,0.236185502292187,0.35938651242347
12,"Yh_L12",0.634623027006541,0.0537215166278783,-0.288440176217007
12,"Yh_L13",0.477118861265198,0.0440953815101362,-0.0367376794135164
