"case","h","step","n","pct_at_top","pct_at_bot","lambda_median"
"AR",1,"lambda_step1",312,89.7,0,162754.791419004
"AR",1,"lambda",312,88.5,0,162754.791419004
"AR",3,"lambda_step1",312,77.9,3.8,162754.791419004
"AR",3,"lambda",312,81.4,3.5,162754.791419004
"AR",6,"lambda_step1",312,78.2,1.9,162754.791419004
"AR",6,"lambda",312,80.4,0.6,162754.791419004
"AR",12,"lambda_step1",312,73.7,2.9,162754.791419004
"AR",12,"lambda",312,66,3.2,162754.791419004
"Factor",1,"lambda_step1",312,95.8,0,162754.791419004
"Factor",1,"lambda",312,78.5,0,162754.791419004
"Factor",3,"lambda_step1",312,88.5,0,162754.791419004
"Factor",3,"lambda",312,80.1,0,162754.791419004
"Factor",6,"lambda_step1",312,71.8,0.3,162754.791419004
"Factor",6,"lambda",312,64.7,0.3,162754.791419004
"Factor",12,"lambda_step1",312,65.1,0,162754.791419004
"Factor",12,"lambda",312,62.8,0,162754.791419004
"ARDI",1,"lambda_step1",312,94.6,0,162754.791419004
"ARDI",1,"lambda",312,94.6,0,162754.791419004
"ARDI",3,"lambda_step1",312,95.5,0,162754.791419004
"ARDI",3,"lambda",312,92.9,0,162754.791419004
"ARDI",6,"lambda_step1",312,96.5,0,162754.791419004
"ARDI",6,"lambda",312,93.9,0,162754.791419004
"ARDI",12,"lambda_step1",312,67.6,0,162754.791419004
"ARDI",12,"lambda",312,53.5,0,162754.791419004
