"case","h","rmse","rmse_rw","ratio"
"AR",1,0.229562972840819,0.251705475127504,0.912030112672485
"AR",3,0.597332253173535,0.776417154940104,0.769344481085835
"AR",6,0.938056954375654,1.47033934501383,0.637986705284573
"AR",12,1.91800649470707,2.95698722183127,0.648635367967282
"Factor",1,0.240158726287055,0.251705475127504,0.954125952824029
"Factor",3,0.647881472446336,0.776417154940104,0.834450228622674
"Factor",6,1.07153615588499,1.47033934501383,0.728767926614185
"Factor",12,1.80692770202161,2.95698722183127,0.611070514164271
"FAVAR",1,0.240934771972309,0.251705475127504,0.957209102623855
"FAVAR",3,0.629711964772299,0.776417154940104,0.811048494698546
"FAVAR",6,0.985646168763817,1.47033934501383,0.670352848889141
"FAVAR",12,2.04897999663236,2.95698722183127,0.692928255321788
