"case","h","cor_l1_l4","mean_l1","mean_l4","mean_ratio"
"AR",1,0.293090039854502,14403128.4425279,42328046.2426087,2151.31442006302
"AR",3,0.912976814072196,43774051.5561851,46444243.8312057,30195.4647448893
"AR",6,0.476587775371021,48891514.2591333,60917973.1167057,4189.69131788542
"AR",12,0.631292117038515,58000013.0450398,62376976.8145184,3217431.46983388
"Factor",1,0.975671230774309,16912781.9148754,17188104.3619485,0.585371644538175
"Factor",3,0.953412839093831,22309751.5294123,22332696.7537521,5.36905706170725
"Factor",6,0.475788388501195,10400728.3760607,28456444.4711586,81523.9529886664
"Factor",12,0.274042629481566,6901500.5550007,41215172.541847,1543.37634384284
"FAVAR",1,0.984748926955343,20477434.4185842,22371742.9002681,2.01932437641102
"FAVAR",3,0.920973658579595,46191762.4121965,48522264.1017096,1.17777427225257
"FAVAR",6,0.34749735327225,51080488.098052,63471532.1365015,332.015916660225
"FAVAR",12,0.498499994582835,51945960.787932,61647542.8382941,1367.60871350965
