"case","h","RMSE_2SRR","RMSE_RidgeStep1","RMSE_RidgeMed","ratio_vs_Step1","DM_stat_vs_Step1","DM_p_vs_Step1","DM_p_vs_MedRidge"
"AR",1,0.2296,0.2289,0.3201,1.003,0.834,0.7974,0.0805
"AR",3,0.5973,0.5816,0.8532,1.027,1.519,0.9347,0.1593
"AR",6,0.9381,0.9328,1.3219,1.0056,-0.341,0.3667,0.1477
"AR",12,1.918,1.8877,2.9081,1.0161,0.817,0.7926,0.1329
"Factor",1,0.2402,0.2341,0.3201,1.0258,1.02,0.8454,0.0722
"Factor",3,0.6479,0.6129,0.8532,1.0571,1.095,0.8624,0.1651
"Factor",6,1.0715,1.0236,1.3219,1.0468,0.882,0.8106,0.1454
"Factor",12,1.8069,1.7592,2.9081,1.0271,0.948,0.8278,0.1282
"FAVAR",1,0.2409,0.2324,0.3201,1.0367,0.993,0.8389,0.0723
"FAVAR",3,0.6297,0.5877,0.8532,1.0715,1.051,0.8527,0.1714
"FAVAR",6,0.9856,0.983,1.3219,1.0027,-1.054,0.1467,0.1436
"FAVAR",12,2.049,2.017,2.9081,1.0158,-0.941,0.1739,0.1261
