"model","h","in_MCS_90","in_MCS_50"
"Ridge",1,TRUE,TRUE
"LASSO",1,TRUE,TRUE
"ElNET",1,TRUE,TRUE
"AdaLASSO",1,TRUE,TRUE
"AdaElNET",1,TRUE,TRUE
"RF",1,TRUE,TRUE
"Bagging",1,TRUE,TRUE
"Factor",1,TRUE,TRUE
"T.Factor",1,TRUE,TRUE
"CSR",1,TRUE,TRUE
"AR",1,TRUE,TRUE
"AR_BIC",1,TRUE,TRUE
"2SRR_AR",1,TRUE,TRUE
"2SRR_Factor",1,TRUE,TRUE
"2SRR_FAVAR",1,TRUE,TRUE
"RidgeStep1_AR",1,TRUE,TRUE
"RidgeStep1_Factor",1,TRUE,TRUE
"RidgeStep1_FAVAR",1,TRUE,TRUE
"Ridge",3,TRUE,TRUE
"LASSO",3,TRUE,TRUE
"ElNET",3,TRUE,TRUE
"AdaLASSO",3,TRUE,TRUE
"AdaElNET",3,TRUE,TRUE
"RF",3,TRUE,TRUE
"Bagging",3,TRUE,TRUE
"Factor",3,TRUE,TRUE
"T.Factor",3,TRUE,TRUE
"CSR",3,TRUE,TRUE
"AR",3,TRUE,TRUE
"AR_BIC",3,TRUE,TRUE
"2SRR_AR",3,TRUE,TRUE
"2SRR_Factor",3,TRUE,TRUE
"2SRR_FAVAR",3,TRUE,TRUE
"RidgeStep1_AR",3,TRUE,TRUE
"RidgeStep1_Factor",3,TRUE,TRUE
"RidgeStep1_FAVAR",3,TRUE,TRUE
"Ridge",6,TRUE,TRUE
"LASSO",6,TRUE,TRUE
"ElNET",6,TRUE,TRUE
"AdaLASSO",6,TRUE,TRUE
"AdaElNET",6,TRUE,TRUE
"RF",6,TRUE,TRUE
"Bagging",6,TRUE,TRUE
"Factor",6,TRUE,TRUE
"T.Factor",6,TRUE,TRUE
"CSR",6,TRUE,TRUE
"AR",6,TRUE,TRUE
"AR_BIC",6,TRUE,TRUE
"2SRR_AR",6,TRUE,TRUE
"2SRR_Factor",6,TRUE,TRUE
"2SRR_FAVAR",6,TRUE,TRUE
"RidgeStep1_AR",6,TRUE,TRUE
"RidgeStep1_Factor",6,TRUE,TRUE
"RidgeStep1_FAVAR",6,TRUE,TRUE
"Ridge",12,TRUE,TRUE
"LASSO",12,TRUE,TRUE
"ElNET",12,TRUE,TRUE
"AdaLASSO",12,TRUE,TRUE
"AdaElNET",12,TRUE,TRUE
"RF",12,TRUE,TRUE
"Bagging",12,TRUE,TRUE
"Factor",12,TRUE,TRUE
"T.Factor",12,TRUE,TRUE
"CSR",12,TRUE,TRUE
"AR",12,TRUE,TRUE
"AR_BIC",12,TRUE,TRUE
"2SRR_AR",12,TRUE,TRUE
"2SRR_Factor",12,TRUE,TRUE
"2SRR_FAVAR",12,TRUE,TRUE
"RidgeStep1_AR",12,TRUE,TRUE
"RidgeStep1_Factor",12,TRUE,TRUE
"RidgeStep1_FAVAR",12,TRUE,TRUE
