"h","ref","benchmark","RMSE_ref","RMSE_bn","DM_stat","DM_p","ref_wins"
1,"2SRR-AR","Ridge",0.2222,0.3201,-1.416,0.1585,TRUE
1,"2SRR-AR","LASSO",0.2222,0.2076,1.505,0.1341,FALSE
1,"2SRR-AR","ElNET",0.2222,0.2097,1.291,0.1985,FALSE
1,"2SRR-AR","AdaLASSO",0.2222,0.2276,-0.616,0.5387,TRUE
1,"2SRR-AR","AdaElNET",0.2222,0.2343,-0.815,0.4163,TRUE
1,"2SRR-AR","RF",0.2222,0.2065,1.572,0.1177,FALSE
1,"2SRR-AR","Bagging",0.2222,0.2089,1.617,0.1077,FALSE
1,"2SRR-AR","Factor",0.2222,0.2612,-0.972,0.3325,TRUE
1,"2SRR-AR","T.Factor",0.2222,0.2277,-0.647,0.5181,TRUE
1,"2SRR-AR","CSR",0.2222,0.2118,1.857,0.065,FALSE
1,"2SRR-AR","AR",0.2222,0.2211,-0.099,0.9211,FALSE
1,"2SRR-AR","AR_BIC",0.2222,0.2211,-0.099,0.9211,FALSE
1,"2SRR-AR","RidgeStep1_AR",0.2222,0.2289,-0.131,0.8956,TRUE
1,"2SRR-AR","RidgeStep1_Factor",0.2222,0.2341,-0.825,0.4104,TRUE
1,"2SRR-AR","RidgeStep1_FAVAR",0.2222,0.2324,-0.801,0.4244,TRUE
3,"2SRR-AR","Ridge",0.5607,0.8532,-1.003,0.3174,TRUE
3,"2SRR-AR","LASSO",0.5607,0.5625,-0.884,0.378,TRUE
3,"2SRR-AR","ElNET",0.5607,0.5461,-0.798,0.426,FALSE
3,"2SRR-AR","AdaLASSO",0.5607,0.6491,-0.98,0.3283,TRUE
3,"2SRR-AR","AdaElNET",0.5607,0.6412,-0.974,0.3314,TRUE
3,"2SRR-AR","RF",0.5607,0.5398,0.529,0.5978,FALSE
3,"2SRR-AR","Bagging",0.5607,0.6304,-1.049,0.2955,TRUE
3,"2SRR-AR","Factor",0.5607,0.711,-0.999,0.319,TRUE
3,"2SRR-AR","T.Factor",0.5607,0.5797,-0.973,0.3319,TRUE
3,"2SRR-AR","CSR",0.5607,0.5571,-0.811,0.4183,FALSE
3,"2SRR-AR","AR",0.5607,0.5557,0.434,0.6651,FALSE
3,"2SRR-AR","AR_BIC",0.5607,0.5557,0.434,0.6651,FALSE
3,"2SRR-AR","RidgeStep1_AR",0.5607,0.5816,-1.045,0.2975,TRUE
3,"2SRR-AR","RidgeStep1_Factor",0.5607,0.6129,-1.001,0.3182,TRUE
3,"2SRR-AR","RidgeStep1_FAVAR",0.5607,0.5877,-0.957,0.3397,TRUE
6,"2SRR-AR","Ridge",0.9047,1.3219,-1.045,0.2974,TRUE
6,"2SRR-AR","LASSO",0.9047,0.8697,-0.79,0.4308,FALSE
6,"2SRR-AR","ElNET",0.9047,0.8635,-0.79,0.4308,FALSE
6,"2SRR-AR","AdaLASSO",0.9047,1.0275,-0.974,0.3315,TRUE
6,"2SRR-AR","AdaElNET",0.9047,1.0123,-0.971,0.3329,TRUE
6,"2SRR-AR","RF",0.9047,0.8952,-0.816,0.4157,FALSE
6,"2SRR-AR","Bagging",0.9047,1.3469,-1.009,0.3144,TRUE
6,"2SRR-AR","Factor",0.9047,1.1881,-1,0.3188,TRUE
6,"2SRR-AR","T.Factor",0.9047,1.1738,-0.997,0.3201,TRUE
6,"2SRR-AR","CSR",0.9047,1.0763,-1.035,0.3021,TRUE
6,"2SRR-AR","AR",0.9047,0.9486,-0.691,0.4902,TRUE
6,"2SRR-AR","AR_BIC",0.9047,0.9486,-0.691,0.4902,TRUE
6,"2SRR-AR","RidgeStep1_AR",0.9047,0.9328,-0.193,0.8469,TRUE
6,"2SRR-AR","RidgeStep1_Factor",0.9047,1.0236,-1.008,0.315,TRUE
6,"2SRR-AR","RidgeStep1_FAVAR",0.9047,0.983,-0.983,0.3267,TRUE
12,"2SRR-AR","Ridge",1.9273,2.9081,-1.115,0.2666,TRUE
12,"2SRR-AR","LASSO",1.9273,1.5624,0.017,0.9865,FALSE
12,"2SRR-AR","ElNET",1.9273,1.5413,0.262,0.7935,FALSE
12,"2SRR-AR","AdaLASSO",1.9273,1.8827,-0.874,0.3833,FALSE
12,"2SRR-AR","AdaElNET",1.9273,1.7653,-0.66,0.51,FALSE
12,"2SRR-AR","RF",1.9273,1.8364,0.484,0.629,FALSE
12,"2SRR-AR","Bagging",1.9273,2.2218,-1.16,0.2478,TRUE
12,"2SRR-AR","Factor",1.9273,2.081,-0.968,0.3346,TRUE
12,"2SRR-AR","T.Factor",1.9273,2.1013,-0.97,0.3336,TRUE
12,"2SRR-AR","CSR",1.9273,2.1937,-1.011,0.3133,TRUE
12,"2SRR-AR","AR",1.9273,1.8638,0.796,0.4273,FALSE
12,"2SRR-AR","AR_BIC",1.9273,1.8579,0.795,0.4275,FALSE
12,"2SRR-AR","RidgeStep1_AR",1.9273,1.8877,0.803,0.4232,FALSE
12,"2SRR-AR","RidgeStep1_Factor",1.9273,1.7592,-0.583,0.5606,FALSE
12,"2SRR-AR","RidgeStep1_FAVAR",1.9273,2.017,-0.929,0.3544,TRUE
